case_id,output
223-638730,"['[{""event"": ""DM del 03/05/2022"", ""date"": ""03/05/2022""}]']"
021-051428,['[]']
248-716991,"['[{""event"": ""Verbale del RUP"", ""date"": ""12/12/2022""}]']"
067-177404,"['[{""event"": ""DD n. 51"", ""date"": ""31/03/2022""}]']"
235-678939,['[]']
147-421403,"['[{""event"": ""DD n. 13237"", ""date"": ""29/06/2022""}]']"
209-597746,"['[{""event"": ""DD n. 2631"", ""date"": ""24/10/2022""}]']"
070-185352,"['[{""event"": ""DD n. 8095"", ""date"": ""29/12/2021""}, {""event"": ""DD n. 2075"", ""date"": ""04/04/2022""}]']"
105-294339,"['[{""event"": ""richieste di chiarimenti"", ""date"": ""14/06/2022""}]']"
145-415881,"['[{""event"": ""Delibera n. 773"", ""date"": ""24/11/2021""}, {""event"": ""Delibera n. 154"", ""date"": ""16/03/2022""}]']"
