case_id,output
223-638730,"['[{""event"": ""Decreto di determinazione a contrarre"", ""date"": ""03/05/2022""}, {""event"": ""DM"", ""date"": ""02/12/2016""}]']"
021-051428,['[]']
248-716991,['[]']
067-177404,"['[{""event"": ""DD n. 51"", ""date"": ""31/03/2022""}]']"
235-678939,['[]']
147-421403,['[]']
209-597746,"['[{""event"": ""DD n. 2631"", ""date"": ""24/10/2022""}]']"
070-185352,"['[{""event"": ""DD n. 8095"", ""date"": ""29/12/2021""}, {""event"": ""DD n. 2075"", ""date"": ""04/04/2022""}]']"
105-294339,['[]']
145-415881,"['[{""event"": ""Delibera n. 773"", ""date"": ""24/12/2021""}, {""event"": ""Delibera n. 154"", ""date"": ""16/03/2022""}]']"
